seed,source_dataset,num_cases,mean_delta_j,median_delta_j,mean_delta_j_route_only,mean_probe_overhead_norm,probe_trigger_rate
7,csm,900,-0.00028433913560423616,0.0,0.0,0.0002843391356042361,0.0022222222222222222
11,csm,900,-0.00018539952976296534,0.0,0.0,0.00018539952976296534,0.0011111111111111111
19,csm,900,-0.00019114019023728495,0.0,0.0,0.00019114019023728495,0.0011111111111111111
23,csm,900,0.0,0.0,0.0,0.0,0.0
31,csm,900,-0.0001886261965025254,0.0,0.0,0.00018862619650252544,0.0011111111111111111
7,mp,2300,-1.0853591048977123e-05,0.0,0.0,1.0853591048977125e-05,0.0004347826086956522
11,mp,2300,0.0,0.0,0.0,0.0,0.0
19,mp,2300,0.0,0.0,0.0,0.0,0.0
23,mp,2300,-1.5224104629525682e-05,0.0,0.0,1.5224104629525682e-05,0.0004347826086956522
31,mp,2300,-5.695473954316878e-05,0.0,0.0,5.695473954316881e-05,0.0008695652173913044
7,parasol,18,0.0,0.0,0.0,0.0,0.0
11,parasol,18,0.0,0.0,0.0,0.0,0.0
19,parasol,18,0.0,0.0,0.0,0.0,0.0
23,parasol,18,0.0,0.0,0.0,0.0,0.0
31,parasol,18,0.0,0.0,0.0,0.0,0.0
