seed,source_dataset,num_cases,mean_delta_j,median_delta_j
7,csm,900,0.0038138656649843996,0.0
11,csm,900,0.014074494655855752,0.0
19,csm,900,0.0038138656649843996,0.0
23,csm,900,0.0006093388109002644,0.0
31,csm,900,0.02100850786073543,0.0
7,mp,2300,0.038112504629566155,0.0
11,mp,2300,0.025729825788993802,0.0
19,mp,2300,0.033023312549082515,0.0
23,mp,2300,0.04097721714944166,0.0
31,mp,2300,0.026277381348603183,0.0
7,parasol,18,0.0,0.0
11,parasol,18,0.0,0.0
19,parasol,18,0.0,0.0
23,parasol,18,0.0,0.0
31,parasol,18,0.0,0.0
