seed,source_dataset,num_cases,mean_delta_j,median_delta_j
7,csm,900,-0.01453506561431399,0.0
11,csm,900,-0.01453506561431399,0.0
19,csm,900,-0.021476095684180314,0.0
23,csm,900,-0.016331233321156317,0.0
31,csm,900,-7.656731494714661e-05,0.0
7,mp,2300,-0.3906733337071828,0.0
11,mp,2300,-0.46002824540061144,0.0
19,mp,2300,-0.4152100795909765,0.0
23,mp,2300,-0.3775132540459193,0.0
31,mp,2300,-0.39582248254451335,0.0
7,parasol,18,0.0,0.0
11,parasol,18,0.0,0.0
19,parasol,18,0.0,0.0
23,parasol,18,0.0,0.0
31,parasol,18,0.0,0.0
