seed,source_dataset,num_cases,mean_delta_j,median_delta_j
7,csm,900,-0.004401123290220767,0.0
11,csm,900,-0.004401123290220767,0.0
19,csm,900,-0.008591295829085865,0.0
23,csm,900,-0.004401123290220767,0.0
31,csm,900,-0.005484629123056032,0.0
7,mp,2300,-0.13891025092904905,0.0
11,mp,2300,-0.1739931400688725,0.0
19,mp,2300,-0.13249868892264627,0.0
23,mp,2300,-0.13169135976517876,0.0
31,mp,2300,-0.2036457153086028,0.0
7,parasol,18,0.0,0.0
11,parasol,18,0.0,0.0
19,parasol,18,0.0,0.0
23,parasol,18,0.0,0.0
31,parasol,18,0.0,0.0
