seed,source_dataset,num_cases,mean_delta_j,median_delta_j
7,csm,900,-0.004401123290220767,0.0
11,csm,900,-0.006627842003835482,0.0
19,csm,900,-0.009545985653244762,0.0
23,csm,900,-0.004401123290220767,0.0
31,csm,900,0.007139231359736797,0.0
7,mp,2300,-0.0620769663081002,0.0
11,mp,2300,-0.08680287997647215,0.0
19,mp,2300,-0.058572098635759386,0.0
23,mp,2300,-0.0795462379776925,0.0
31,mp,2300,-0.09749644850437016,0.0
7,parasol,18,0.0,0.0
11,parasol,18,0.0,0.0
19,parasol,18,0.0,0.0
23,parasol,18,0.0,0.0
31,parasol,18,0.0,0.0
